19;OPEN;[task] Request data;documentation, task;2021-02-16 19:07:39 +0000 UTC
18;OPEN;[task] Timesheet and Burndown Chart;documentation, task;2021-02-16 19:07:53 +0000 UTC
17;OPEN;[task] Review and improve Domain Model;documentation, enhancement, task;2021-02-16 14:53:14 +0000 UTC
16;OPEN;[task] Create Spring Boot project for API ( Backend);task;2021-02-16 14:58:01 +0000 UTC
15;OPEN;[task] Dockerfiles for Frontend / Backend;task;2021-02-16 15:06:06 +0000 UTC
14;OPEN;[task] CI/CD Chain on GitActions;task;2021-02-16 14:56:21 +0000 UTC
13;OPEN;[task] Create React project for FrontEnd;task;2021-02-16 14:54:58 +0000 UTC
12;OPEN;[task] Architect drawing (collaboration);documentation, task;2021-02-16 14:57:06 +0000 UTC
11;OPEN;[tech] CI/CD Github Actions;documentation, enhancement, techstack;2021-02-16 19:35:14 +0000 UTC
10;OPEN;[tech] Tech stack & Architecture;documentation, enhancement, techstack;2021-02-16 19:35:34 +0000 UTC
9;OPEN;[userstory] Arrangør behov;enhancement;2021-02-16 19:35:55 +0000 UTC
8;OPEN;[userstory] Vise kvaliteten ved løpet;enhancement;2021-02-16 08:11:56 +0000 UTC
7;OPEN;[userstory] Promotere løp;enhancement;2021-02-16 08:12:21 +0000 UTC
6;OPEN;[userstory] Lagre søk på løp;enhancement;2021-02-16 08:12:31 +0000 UTC
5;OPEN;[userstory] En komplett database over alle løpene i norge;enhancement;2021-02-16 08:12:45 +0000 UTC
4;OPEN;[userstory] En måte å se hva andre har meldt seg på;enhancement;2021-02-16 08:12:58 +0000 UTC
3;OPEN;[userstory] En måte å finne gode anbefalte løp;enhancement;2021-02-16 08:13:33 +0000 UTC
